Name	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
P066	-0.0612	-0.7566	1.0069	-0.5787	1.4235	-0.1708	0.471	-0.8912	-1.313	0.0143	-0.5468	-1.1788	1.2492	0.632	1.8115	-1.0756
P067	0.7741	-0.9205	0.5654	-1.3992	-0.8984	-0.0046	-1.2709	0.7733	-0.417	0.0961	0.5803	-0.3835	-0.4382	-0.0262	1.2398	1.8111
P068	-0.7936	-1.1823	0.4856	0.7655	0.2585	-0.1127	0.9968	-1.6276	-0.1731	0.1754	-0.667	-1.1356	0.9731	0.7417	1.9342	-0.6172
P069	0.2752	-1.7422	0.7127	0.0163	0.2708	0.1984	-0.1568	-1.9259	-0.1346	1.2273	1.1004	-0.8763	0.7116	-0.2033	0.4986	0.0782
P070	-0.0967	-0.3281	1.2863	0.4984	-0.1658	0.09	-0.3103	-1.5819	-0.9194	0.811	1.889	-1.6295	0.9761	0.195	0.064	-0.7303
P071	-0.609	-1.0553	0.4819	-0.2739	0.5934	0.0389	0.3778	0.0117	-0.5472	-0.3548	-1.2131	-1.2487	0.4043	1.2287	2.0804	0.1242
P072	0.7788	-0.2846	1.2707	-1.8734	1.0507	0.2036	-1.6035	0.2488	-1.1004	-0.0144	0.7737	-1.2192	0.1369	1.1292	0.9233	-0.3616
P073	0.251	-1.2375	0.8288	-1.4211	-1.0727	0.5924	-1.561	0.2426	0.2226	0.3102	1.6728	-0.1384	-0.1605	-0.1494	0.3573	1.3284
P074	0.3859	-0.993	0.6445	-1.5146	1.8327	0.2254	-0.6505	0.7585	-0.9908	-0.1976	-0.8796	-1.3207	0.1336	1.1206	1.4773	0.0276
P075	0.4027	-1.7841	0.3934	-1.2298	-1.3271	0.4734	-0.7793	0.2289	0.6645	0.7661	0.6346	-0.1039	0.0788	-0.5822	0.5813	1.638
P076	-0.1531	-2.3286	0.1549	-0.9852	0.9458	0.6796	0.2611	-0.9204	0.3296	0.7591	-0.2755	-0.8629	0.6712	-0.1929	1.4021	0.57
P077	0.4114	-1.566	-0.0037	-1.6544	0.2394	0.6654	-0.386	0.3089	0.0055	0.634	0.357	-0.8579	-0.2896	-0.8764	1.3816	1.7339
P078	0.1304	-1.5136	0.5919	-1.218	-1.6193	0.6822	-0.9383	0.2251	0.6817	0.5616	1.0093	-0.3669	0.279	-0.5513	0.7888	1.307
P079	0.7959	-1.0645	0.6846	-0.9539	-0.2672	0.1204	-0.7936	-0.4633	-0.8408	0.1815	0.9589	-0.7296	0.0154	-0.7322	1.9014	1.2774
P080	-1.214	-1.3861	0.6445	0.8216	0.031	0.3655	0.5581	-2.1254	-0.1255	0.7797	0.6476	-0.9396	1.2468	-0.2292	1.3758	-0.4109
P081	0.514	-1.1227	0.8271	-1.2519	0.2435	0.4106	-1.5053	-0.5391	-0.2931	0.6145	1.7241	-1.1024	-0.0166	-0.1164	0.8745	0.8257
P082	0.0247	-2.3385	0.3892	-1.1645	-0.0852	0.8116	-0.4105	-0.5445	0.3832	0.6142	0.5299	-0.2617	0.2854	-0.5514	1.171	1.2074
P083	-0.3941	-1.7677	1.0477	0.0445	-0.064	0.6605	-0.5821	-1.9107	-0.0092	1.0273	1.7781	-0.5518	0.7582	-0.0329	0.3115	-0.2775
