	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
P065	-2.0509	0.2427	0.9087	0.5662	-0.5475	0.6654	0.2909	0.0141	2.5959	-0.9728	-0.6497	0.3805	0.6223	-0.7311	-0.8349	-0.5153
P066	-2.0079	0.3706	0.9297	0.6175	-0.545	0.5788	0.2807	-0.0575	2.5782	-1.0684	-0.5887	0.3745	0.6382	-0.7365	-0.8676	-0.5144
P067	-1.9845	0.393	0.9372	0.5344	-0.5048	0.5405	0.3809	-0.128	2.5949	-1.1536	-0.5473	0.2547	0.7011	-0.6974	-0.9021	-0.4389
P068	-2.0444	0.3721	0.9913	0.6147	-0.6579	0.5135	0.171	-0.1109	2.5609	-0.9748	-0.5805	0.4176	0.7351	-0.6402	-0.799	-0.5853
P069	-2.0299	0.3016	0.9069	0.5788	-0.5329	0.619	0.3123	-0.0333	2.608	-1.0354	-0.5695	0.3548	0.608	-0.7236	-0.8789	-0.5028
P070	-1.9984	0.3672	0.9859	0.571	-0.5571	0.6019	0.3091	-0.044	2.5586	-1.1086	-0.5644	0.3627	0.6162	-0.7362	-0.8834	-0.4997
P071	-2.0223	0.3195	0.8858	0.6065	-0.5335	0.5975	0.284	-0.0464	2.6043	-1.028	-0.6066	0.3773	0.6483	-0.7345	-0.8571	-0.5114
P072	-2.0542	0.2726	0.9305	0.5516	-0.5242	0.5792	0.3096	-0.0472	2.59	-1.0145	-0.6576	0.3906	0.6813	-0.6843	-0.8307	-0.5097
P073	-1.9631	0.3205	1.0166	0.4843	-0.5873	0.6415	0.3461	-0.0288	2.583	-1.1246	-0.5284	0.3515	0.598	-0.7336	-0.8827	-0.5124
P074	-2.0172	0.3066	0.8974	0.5522	-0.5266	0.6018	0.3133	-0.0383	2.6192	-1.0282	-0.6239	0.3556	0.6507	-0.729	-0.8569	-0.4934
P075	-2.0202	0.2306	0.8998	0.5219	-0.5191	0.6437	0.3492	-0.0026	2.6257	-1.0197	-0.6187	0.3487	0.631	-0.7198	-0.8694	-0.4973
P076	-2.0354	0.2699	0.9626	0.5326	-0.5592	0.6278	0.2982	-0.0068	2.5832	-1.0162	-0.6335	0.3984	0.6345	-0.7162	-0.8405	-0.5165
P077	-2.0353	0.2914	0.9876	0.5571	-0.5752	0.6481	0.2906	-0.0072	2.5577	-1.0374	-0.6067	0.3898	0.6143	-0.7178	-0.8442	-0.5307
P078	-2.0287	0.3242	0.8305	0.6381	-0.4821	0.4365	0.2616	-0.1076	2.623	-0.9839	-0.7241	0.4507	0.7618	-0.6744	-0.8144	-0.5266
P079	-1.9937	0.2765	0.9909	0.521	-0.5558	0.6444	0.3525	0.0007	2.5756	-1.0979	-0.5625	0.3619	0.5957	-0.7336	-0.8892	-0.5051
P080	-2.0376	0.3142	0.8515	0.6429	-0.5398	0.6045	0.2545	-0.0416	2.6116	-0.9891	-0.6049	0.4023	0.6279	-0.7427	-0.8437	-0.5257
P081	-2.0256	0.2941	0.9255	0.5671	-0.5471	0.6411	0.3047	-0.0173	2.5923	-1.032	-0.6081	0.3593	0.6273	-0.7273	-0.855	-0.516
