	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
P103	0.9149	-0.2812	-0.3258	-1.0574	-0.9931	-0.5745	-2.0629	1.6209	0.7271	-1.0521	0.3947	0.3342	-0.2512	0.9556	-0.0662	1.7265
P104	0.9009	-0.2891	-0.2623	-1.1909	-0.9819	-0.4881	-2.1564	1.5178	0.6692	-1.0463	0.4238	0.3933	-0.1678	0.9997	0.0284	1.6557
P105	0.8695	-0.3888	-0.3329	-0.9765	-0.9196	-0.5305	-2.0732	1.5912	0.6965	-1.1122	0.468	0.3416	-0.3564	1.0227	-0.0369	1.7475
P106	1.0598	-0.345	-0.2519	-1.0273	-0.874	-0.6351	-2.1758	1.5335	0.6165	-1.0254	0.4207	0.2887	-0.1746	1.0683	-0.1279	1.6537
P107	0.9157	-0.2182	-0.4106	-1.0006	-1.0618	-0.5823	-2.038	1.6754	0.8192	-1.074	0.413	0.3838	-0.2538	0.8493	-0.0682	1.6618
P108	0.9727	-0.3776	-0.2647	-0.9358	-0.8922	-0.5337	-2.1717	1.6216	0.6186	-1.1276	0.4694	0.3954	-0.286	0.9824	-0.0973	1.6327
P109	0.8741	-0.4087	-0.2723	-1.0607	-1.0219	-0.5149	-1.9881	1.6324	0.7554	-1.0176	0.3978	0.3061	-0.3412	0.9809	-0.1042	1.7936
P111	1.143	-0.3868	-0.19	-1.0798	-0.8689	-0.6698	-2.1495	1.4876	0.5889	-0.9581	0.4078	0.2232	-0.1254	1.117	-0.2001	1.6629
P112	0.9679	-0.5155	-0.0685	-1.167	-0.7169	-0.5382	-2.1465	1.3946	0.3859	-0.9705	0.3773	0.1883	-0.246	1.3225	-0.083	1.8201
P114	1.0056	-0.1661	-0.4208	-0.8857	-1.029	-0.6647	-2.0808	1.7352	0.7901	-1.0111	0.4319	0.3966	-0.2753	0.8526	-0.2455	1.5753
P115	1.1206	-0.3767	-0.2697	-1.0381	-0.9087	-0.6648	-2.1365	1.5125	0.6527	-0.9991	0.4253	0.2484	-0.1311	1.0786	-0.1501	1.6402
P116	1.2873	-0.3443	-0.2775	-0.881	-0.8734	-0.789	-2.0991	1.5885	0.5701	-0.9481	0.4113	0.1889	-0.1163	1.1178	-0.4011	1.5678
P118	1.0394	-0.226	-0.3025	-1.0596	-0.9873	-0.6263	-2.1352	1.5968	0.7025	-1.0111	0.4077	0.3529	-0.1567	0.9438	-0.1511	1.6182
P120	0.977	-0.3637	-0.2675	-1.039	-0.9228	-0.5559	-2.1368	1.5553	0.6584	-1.0832	0.4426	0.3379	-0.2294	1.0089	-0.0596	1.6841
P122	1.0065	-0.3255	-0.2392	-1.0657	-0.8833	-0.5675	-2.226	1.5424	0.6074	-1.041	0.4378	0.3624	-0.1779	1.0423	-0.0697	1.6005
