Target ID	Target name	TF list
ENSG00000102908	NFAT5	ENSG00000164736;
ENSG00000142731	PLK4	ENSG00000205250;
ENSG00000170965	PLAC1	ENSG00000172216;ENSG00000091831;ENSG00000091831;ENSG00000181449;ENSG00000185591;
ENSG00000132688	NES	ENSG00000134323;ENSG00000100146;ENSG00000125398;
ENSG00000090612	ZNF268	ENSG00000102145;
ENSG00000001626	CFTR	ENSG00000123268;ENSG00000165556;ENSG00000257923;ENSG00000129514;ENSG00000125798;ENSG00000168269;ENSG00000116044;ENSG00000116044;ENSG00000109320;ENSG00000173039;ENSG00000185591;ENSG00000172845;ENSG00000112658;ENSG00000115415;ENSG00000115415;ENSG00000137203;ENSG00000105698;ENSG00000100811;ENSG00000100811;
ENSG00000173198	CYSLTR1	ENSG00000166888;
ENSG00000120694	HSPH1	ENSG00000170345;
ENSG00000135346	CGA	ENSG00000123268;ENSG00000118260;ENSG00000064195;ENSG00000157557;ENSG00000163132;ENSG00000111704;ENSG00000064835;ENSG00000137203;ENSG00000126351;ENSG00000151090;ENSG00000151090;
ENSG00000132970	WASF3	ENSG00000100644;
ENSG00000173083	HPSE	ENSG00000120738;ENSG00000120738;ENSG00000109320;ENSG00000152192;ENSG00000173039;
ENSG00000036530	CYP46A1	ENSG00000172845;
ENSG00000104972	LILRB1	ENSG00000124496;
ENSG00000109255	NMU	ENSG00000118513;
ENSG00000127951	FGL2	ENSG00000185591;
ENSG00000109819	PPARGC1A	ENSG00000068305;ENSG00000187098;ENSG00000141510;
ENSG00000130222	GADD45G	ENSG00000172216;ENSG00000221869;ENSG00000109320;ENSG00000173039;
ENSG00000006634	DBF4	ENSG00000101412;ENSG00000114315;ENSG00000185591;
ENSG00000165672	PRDX3	ENSG00000136997;ENSG00000106459;
ENSG00000154640	BTG3	ENSG00000141510;
ENSG00000025772	TOMM34	ENSG00000106459;
ENSG00000146278	PNRC1	ENSG00000169083;ENSG00000173153;ENSG00000113580;ENSG00000136931;
ENSG00000089248	ERP29	ENSG00000100219;
ENSG00000168439	STIP1	ENSG00000185122;
ENSG00000117395	EBNA1BP2	ENSG00000136997;
ENSG00000134308	YWHAQ	ENSG00000091831;ENSG00000082175;
ENSG00000121022	COPS5	ENSG00000102145;ENSG00000168610;
ENSG00000111142	METAP2	ENSG00000126003;
ENSG00000142945	KIF2C	ENSG00000101412;ENSG00000101412;ENSG00000185591;
ENSG00000186818	LILRB4	ENSG00000124496;
ENSG00000162892	IL24	ENSG00000172216;ENSG00000177606;
ENSG00000070748	CHAT	ENSG00000091831;ENSG00000140009;ENSG00000115415;
ENSG00000180198	RCC1	ENSG00000136997;
ENSG00000175063	UBE2C	ENSG00000136997;
ENSG00000163781	TOPBP1	ENSG00000205250;
ENSG00000111642	CHD4	ENSG00000134046;
