	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
P100	-0.9112	-0.4225	0.3547	0.6969	0.0595	0.8303	-0.3739	0.6533	-0.6578	0.41	0.8513	-0.9008	-0.0094	-0.3753	-0.1413	-0.0752
P101	-0.2475	0.4397	-0.7628	-0.6594	1.5363	0.2439	1.2488	-1.0489	-0.9194	0.6737	-1.6553	1.5625	-0.9163	-0.852	0.5597	0.8571
P102	-0.4091	-0.3113	-0.6009	-0.7162	1.5471	0.2342	0.9076	-0.7093	-0.8279	1.4749	-1.6435	1.0592	-0.471	-0.8347	0.4799	0.8724
P103	-0.2793	0.7426	-1.0354	-0.2844	1.4644	0.1539	1.1733	-0.9011	-1.0054	0.589	-1.6428	1.4868	-0.9472	-0.8649	0.555	0.8527
P104	-0.7219	-1.8076	0.6449	-0.1776	-0.039	1.2169	0.0551	0.4857	-0.1825	0.7951	1.015	-1.4538	0.7816	-0.2062	-0.4783	0.0651
P105	-0.2457	0.9838	-0.8584	-0.334	1.1837	0.5599	1.4797	-0.8159	-1.1951	0.1726	-1.3495	1.4219	-1.1742	-0.8018	0.397	0.629
P106	-0.2838	1.2031	-1.1976	-0.3143	1.1028	0.2567	1.3463	-0.885	-1.0846	0.4085	-1.6231	1.6185	-1.0101	-0.6887	0.5701	0.6365
P107	-0.2802	0.3607	-0.5661	-0.5693	0.6571	0.9513	1.4648	-0.6072	-1.1525	0.3848	-1.1609	0.9881	-0.4864	-0.7856	0.429	0.4091
P108	-0.3181	1.1152	-1.0754	-0.388	1.2362	0.2473	1.375	-0.9429	-1.1111	0.4009	-1.5827	1.616	-1.0655	-0.7001	0.5524	0.6993
P109	-0.2755	1.0615	-1.134	-0.3586	1.1984	0.1842	1.2554	-0.9632	-1.0595	0.5888	-1.6778	1.6752	-0.9525	-0.7541	0.5166	0.7522
P110	-0.2543	1.1605	-1.1456	-0.3165	1.159	0.3252	1.3835	-0.8884	-1.0996	0.3701	-1.5626	1.6086	-1.1032	-0.7546	0.5338	0.6401
P111	-0.3893	1.2137	-1.2558	-0.0397	1.0198	0.0725	1.1116	-0.7174	-1.2197	0.8811	-1.7846	1.3787	-0.6164	-0.696	0.2182	0.8723
P112	-1.2314	-1.0718	1.0094	0.8018	-0.3033	0.3836	-1.2212	0.6698	-0.0816	0.3863	1.7152	-1.7072	0.6909	0.4464	-0.4055	-0.1071
P113	-1.0008	-1.7385	1.1298	0.2471	0.2434	0.6438	-0.6876	0.1557	-0.194	0.6567	1.5301	-1.5805	0.5866	0.0138	-0.2366	0.2218
P114	-0.9931	-1.1674	1.1083	0.6905	-0.2743	0.5322	-1.1376	0.5504	0.2326	0.1637	1.693	-2.0612	1.0098	0.446	-0.7354	-0.0863
P115	-0.6005	0.1232	-0.3937	-0.2808	1.7785	0.2975	0.898	-0.6161	-1.2614	0.92	-1.3045	0.9712	-0.8868	-0.7904	0.122	1.0756
P116	-0.264	1.5277	-1.3357	0.3699	0.8306	0.237	0.9431	-0.4825	-1.2558	0.7006	-1.4805	1.372	-1.0186	-0.8998	0.1316	0.6653
P117	-0.137	0.8537	-1.0906	-0.5612	1.2525	0.2832	1.3761	-0.9731	-0.8507	0.429	-1.6836	1.619	-1.0308	-0.8004	0.7081	0.6635
P118	-0.5077	-0.0982	-0.5761	-0.5983	1.5532	0.0663	0.7423	-0.7849	-0.9543	1.4328	-1.8314	1.1134	-0.3378	-0.6202	0.328	1.1222
P119	-0.9351	-1.4617	1.2541	0.628	0.1375	0.2253	-1.4626	0.2326	-0.0027	0.8694	1.4087	-1.7838	0.9371	0.2805	-0.7865	0.4357
P120	-0.7273	1.5425	-0.8454	-0.0027	0.7211	0.1336	0.8654	-0.6579	-1.18	0.3858	-1.4835	0.814	-0.125	-0.558	0.3867	0.7654
P121	-0.5369	0.4305	-0.895	-0.1581	0.9452	0.202	1.0782	-0.6142	-1.1481	0.9568	-1.5718	1.1575	-0.4729	-0.6246	0.5744	0.7212
P122	-0.3072	1.2852	-1.2333	-0.1895	1.1022	0.1608	1.2279	-0.8709	-1.1476	0.5467	-1.6182	1.6324	-0.971	-0.7679	0.474	0.7313
